"","initials","year_pub","journal_id","volume","issue","first_author","include","reason"
"311","PD",2019,"JOE",107,2,"van Breugel","Yes","na"
"312","PD",2019,"JOE",107,2,"Liu","No","No Tables"
"313","PD",2019,"JOE",107,2,"Duffin","No","No Tables"
"314","PD",2019,"JOE",107,2,"Turner","No","No Tables"
"315","PD",2019,"JOE",107,2,"Koziol","Yes","na"
"316","PD",2019,"JOE",107,2,"Teste","No","No Tables"
"317","PD",2019,"JOE",107,2,"Vowles","No","No Tables"
"318","PD",2019,"JOE",107,2,"Silvério","Yes","na"
"319","PD",2019,"JOE",107,2,"Arroyo","No","No Tables"
"320","PD",2019,"JOE",107,2,"Veresoglou","No","No Tables"
"321","PD",2019,"JOE",107,2,"Draper","No","No Tables"
"322","PD",2019,"JOE",107,2,"Rajala","No","No Tables"
"323","PD",2019,"JOE",107,2,"Vega-álvarez","Yes","na"
"324","PD",2019,"JOE",107,2,"Tatsumi","No","No Tables"
"325","PD",2019,"JOE",107,2,"Borges","Yes","na"
"326","PD",2019,"JOE",107,2,"Fricke","No","No Tables"
"327","PD",2019,"JOE",107,2,"Möhl","No","No Tables"
"328","PD",2019,"JOE",107,2,"Malecore","No","No Tables"
"329","PD",2019,"JOE",107,2,"Feng","No","No Tables"
"330","PD",2019,"JOE",107,2,"Valone","No","No Tables"
"331","PD",2019,"JOE",107,2,"Leunda","No","No Tables"
"332","PD",2019,"JOE",107,2,"Kleyer","No","No Tables"
"333","PD",2019,"JOE",107,2,"Mazziota","No","Paper Type"
"334","PD",2019,"JOE",107,2,"Kupers","No","No Tables"
"335","PD",2019,"JOE",107,2,"Sierra","Yes","na"
"336","PD",2019,"JOE",107,2,"Zambrano","No","No Tables"
"337","PD",2019,"JOE",107,2,"Zhu","No","No Tables"
"338","PD",2019,"JOE",107,2,"Loughnan","No","No Tables"
"339","PD",2019,"JOE",107,2,"Schrieber","No","No Tables"
"340","PD",2019,"JOE",107,2,"Mackie","No","No Tables"
"341","PD",2019,"JOE",107,2,"Hewitt","Yes","na"
"342","PD",2019,"JOE",107,2,"Buchowski","No","No Tables"
"343","PD",2019,"JOE",107,2,"Dinnage","No","No Tables"
"344","PD",2019,"JOE",107,2,"Thomas","No","Paper Type"
"345","PD",2018,"JOE",106,6,"Doss","No","Paper Type"
"346","PD",2018,"JOE",106,6,"Wooliver","No","No Tables"
"347","PD",2018,"JOE",106,6,"Muller","No","No Tables"
"348","PD",2018,"JOE",106,6,"Berenguer","No","No Tables"
